Artists,Recognized by SD?,Tags
Rembrandt Van Rijn,Yes,"realism, baroque, scene, portrait"
René Magritte,Yes,"surrealism, cloudscape, art deco, cubism, impressionism"
RHADS,Yes,"digital, surrealism, landscape, vibrant"
Richard Anderson,Yes,"digital, fantasy, dark, messy"
Richard S. Johnson,Yes,"impressionism, portrait, scene"
Rick Amor,No,
Robert Hagan,Yes,"impressionism, landscape, scene, vibrant"
Robert Henri,Yes,"landscape, painting, portrait"
Robert Mcginnis,Yes,"character, scene"
Robert Rauschenberg,Yes,"pop art, painting, abstract expressionism"
Rockwell Kent,Yes,"landscape, monochromatic, high contrast, symbolism"
Roger Dean,Yes,"landscape, fantasy, sci-fi"
Rolf Armstrong,Yes,"character, vibrant, art nouveau, art deco"
Ron Arad,Yes,architecture
Ross Tran,Yes,"portrait, digital"
Russ Mills,Yes,"high contrast, dark, abstract, messy"
Sabbas Apterus,Yes,"digital, dark, scene"
Sailor Moon,Yes,"vibrant, clean, anime"
Sally Mann,Yes,"photography, nudity, scene"
Salvador Dali,Yes,"surrealism, dark"
Sandro Botticelli,Yes,renaissance
Sarah Andersen,Yes,"cartoon, comics, high contrast"
Sarah McCulloch,No,
Scott Listfield,Yes,"realism, surrealism, scene"
Scott Naismith,Yes,"abstract, colorful, landscape, scene, watercolor"
Sebastian Luca,No,
Sergio Aragonés,Yes,"cartoon, comics"
Shepard Fairey,Yes,"colorful, graffiti, street art"
Sherree Valentine Daines,Yes,"impressionism, scene"
Sherry Akrami,Yes,"monochromatic, photography, surrealism, nature"
Shinji Aramaki,Yes,"anime, scene, character"
Simon Stålenhag,Yes,"digital, landscape, sci-fi"
Slim Aarons,Yes,"vibrant, photography, scene"
Sofonisba Anguissola,Yes,"renaissance, portrait"
Sophie Anderson,Yes,"character, portrait"
Sparth,Yes,"digital, fantasy, sci-fi, landscape"
Stan Lee,Yes,"action hero, colorful, comics"
Stephen Hickman,Yes,impressionism
Steve Argyle,Yes,"fantasy, character"
Steven Belledin,Yes,digital
Studio Ghibli,Yes,"whimsical, anime, children's illustration"
Studio Trigger,Yes,"anime, character, colorful"
Suguru Tanaka,No,"dark, horror, surrealism"
Sui Ishida,Yes,"character, colorful, manga, portrait, watercolor"
Svetlin Velinov,No,
Syd Mead,Yes,"sci-fi, abstract, angular"
Sylvain Sarrailh,Yes,"digital, vibrant, scene, landscape"
Tadao Ando,Yes,"angular, architecture"
teamLab,Yes,"vibrant, colorful, installation, light"
Ted Nasmith,Yes,"fantasy, landscape, luminism, scene"
Terada Katsuya,Yes,"manga, fantasy, portrait"
Terry Redlin,Yes,"landscape, luminism, nature"
Tex Avery,Yes,"whimsical, storybook, catoon"
Theo van Rysselberghe,Yes,"impressionism, landscape, scene, portrait"
Thomas Benjamin Kennington,Yes,"realism, portrait, scene"
Thomas Eakins,Yes,"impressionism, realism, scene"
Thomas Gainsborough,Yes,"romanticism, renaissance, landscape, scene"
Thomas Kinkade,Yes,"portrait, luminism, impressionism"
Thomas W Schaller,Yes,"impressionism, landscape, cityscape"
Tim Burton,Yes,"dark, high contrast, cartoon"
Timothy Jack,No,
Tintoretto,Yes,"dark, renaissance"
Titian,Yes,"painting, portrait, renaissance"
Tom Bagshaw,Yes,"character, dark, fantasy, scene"
Tom Roberts,Yes,"impressionism, landscape, portrait"
Tom Thomson,Yes,"art nouveau, impressionism, landscape"
Tomma Abts,Yes,"abstract, angular"
Tooth Wu,No,
Tsutomu Nihei,Yes,"dark, manga, monochromatic, sci-fi"
Tuomas Korpi,No,
Tyler Edlin,Yes,"fantasy, digital, landscape, scene"
Utagawa Hiroshige,Yes,"landscape, painting, ukiyo-e"
ValheIm Hammershøi,Yes,"low contrast, scene, impressionism, symbolism"
Van Gogh,Yes,"impressionism, pointillism"
Victo Ngai,Yes,"detailed, vibrant, children's illustration, surrealism"
Victor Adame Minguez,No,
Vito Acconci,Yes,"dark, installation, architecture, sculpture"
Vittorio Matteo Corcos,Yes,"portrait, realism, scene"
